"46","Tarapacá","Primera",11119,9958,11012,15211,13126,12731,13026,13524,14026,14704,13866,13963,13689,13696,13268,9468,11666,13470,13560,14071,13458,13936,14194,15141,15264,15421,15711,16187,16587,16220,15550,14887,14295,13870,13371,14103,14355,13799,13403,12768,12826,12889,13669,13585,13610,13602,13314,12806,12247,13111,13397,13547,13364,13283,13286,13059,12453,12441,11548,11220,11065,10486,10091,9438,9320,8502,7920,7533,7194,6972,6605,6036,5753,5327,4634,4391,4018,27361,963577
"47","Tarapacá","Segunda",9129,8728,9866,14362,12615,12279,12594,13141,13700,14436,13628,13751,13503,13528,13074,9174,11363,13090,13128,13623,12972,13495,13797,14698,14832,15003,15294,15814,16232,15898,15225,14610,14074,13640,13172,13888,14156,13594,13207,12618,12671,12748,13526,13451,13489,13487,13209,12711,12154,13009,13296,13476,13291,13215,13203,12977,12385,12377,11503,11171,10996,10432,10039,9390,9278,8462,7890,7505,7157,6943,6567,6003,5723,5295,4596,4353,3994,26989,943892
"48","Tarapacá","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4920,2037,980,733,771,1599,1145,996,744,620,574,594,593,533,481,496,436,378,356,354,329,315,298,274,272,263,236,227,231,198,206,168,168,160,156,155,143,131,109,107,132,110,41,5,2,0,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,23785
"49","Valparaíso","Refuerzo",2871,3477,4756,9744,8833,8873,9297,9809,10687,11829,11220,11550,11706,11934,12066,12959,12236,12765,12424,12825,12957,12992,13154,13714,13741,13960,14321,14836,15103,14840,14288,13732,13236,12827,12389,13144,13485,12991,12548,12097,12156,12238,13043,12962,12979,13008,12734,12316,11732,12571,12855,13064,12922,12828,12808,12591,11971,11949,11080,10776,10616,10026,9680,9006,8975,8186,7601,7236,6863,6646,6290,5714,5441,4978,4306,4076,3706,23805,863950
"50","Valparaíso","Cuarta",1,0,4,938,984,1106,1185,1236,1608,3008,3187,4253,5680,6892,8712,10044,9493,9865,9549,9657,9733,9739,9828,10330,10377,10618,11042,11497,11780,11672,11313,10970,10558,10238,10062,10782,11121,10775,10430,10146,10194,10348,11045,11038,11078,11185,10977,10679,10181,10883,11226,11445,11362,11321,11362,11028,10493,10560,9852,9515,9431,8989,8653,8123,8103,7413,6864,6510,6146,5987,5610,5064,4814,4368,3759,3532,3194,19247,641992
"51","Valparaíso","Primera",6406,6975,8205,11363,10368,10254,10605,11438,12053,13546,12732,12979,12706,12388,12253,9120,9676,10446,10391,11667,12211,12511,12597,13235,13414,13794,14308,14746,14698,14121,13630,13052,12535,12454,12294,12730,12545,12272,12080,11584,11420,11452,11990,12157,12567,12445,11839,11663,11544,11849,12084,11792,11822,11587,11169,10912,10326,10302,9494,9188,8781,8397,8008,7429,7193,6584,6126,5886,5477,5393,5108,4813,4354,4161,3736,3756,3419,23928,826533
"52","Ñuble","Segunda",5017,5776,6878,10186,9563,9516,9930,10773,11537,13181,12430,12740,12461,12175,12044,8927,9422,10184,10114,11368,11907,12205,12315,12950,13117,13520,14000,14454,14419,13830,13382,12821,12325,12235,12099,12544,12371,12108,11931,11457,11284,11312,11851,12044,12439,12313,11725,11556,11411,11744,11976,11682,11744,11464,11086,10831,10241,10199,9401,9102,8696,8326,7949,7364,7139,6525,6079,5835,5420,5364,5069,4771,4313,4119,3705,3721,3375,23507,806894
"53","Ñuble","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4246,2960,2438,2043,1487,1306,1195,1054,984,957,993,1032,973,992,805,782,770,742,731,658,702,664,620,605,584,598,566,563,553,539,571,487,485,417,427,405,404,389,347,303,288,272,103,19,9,12,15,9,5,5,4,5,5,1,4,2,3,0,1,6,2,1,9,38157
"54","Ñuble","Refuerzo",1107,1576,2246,4914,4978,5159,5556,6151,7407,9446,8927,9608,9786,9847,10607,11833,11121,11339,10816,11449,11684,11820,11889,12342,12481,12907,13399,13796,13874,13217,12742,12253,11878,11752,11637,12131,11958,11602,11552,11075,10911,11012,11572,11681,12010,12014,11307,11193,11052,11345,11495,11302,11330,11027,10640,10411,9834,9645,8866,8586,8230,7886,7485,6923,6739,6117,5711,5449,5085,5005,4696,4398,3950,3746,3377,3359,3024,19755,728030
"55","0","Cuarta",0,0,2,176,204,227,260,305,466,1439,1522,2861,3715,4568,6678,8413,8011,8154,7663,8036,8097,8252,8294,8698,8706,9090,9492,9918,9836,9638,9181,8958,8755,8716,8660,9045,9054,8813,8801,8463,8438,8461,9017,9136,9388,9359,8798,8784,8764,8987,9157,9009,9008,8864,8590,8432,7989,7906,7224,7108,6884,6592,6281,5831,5712,5159,4806,4595,4317,4197,3864,3619,3183,3035,2726,2603,2328,14539,503857
