AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2022;31466;8;AULA HOSPITALARIA COPIAPÓ;3;2;0;3;ATCMA;31;3101;COPIAPÓ;31;COPIAPÓ;1;0;2;1;3;0;14;9;23;0;0;0;0;0;0;0;0;5;6;11;0;0;0;0;0;0;0;0;0;21;16;0;37;2;8;0;0;3;0;0;0;13;0;0;0
2022;31486;2;CENTRO DE EDUCACION INTEGRADA DE ADULTOS CASA CHAMINADE;3;2;0;7;MAULE;74;7401;LINARES;73;LINARES;1;0;0;0;0;0;0;0;0;9;6;15;0;0;0;0;0;0;0;0;67;85;152;0;0;0;0;0;0;76;91;0;167;0;0;1;0;0;4;0;0;5;0;0;0
2022;31489;7;SALA CUNA AMUYUNI;4;3;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;1;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;31492;7;ESC. ESP. Nº2411 TESORITOS;3;2;0;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;1;0;0;0;0;0;0;0;0;0;0;0;0;34;16;50;0;0;0;0;0;0;0;0;0;0;0;0;0;34;16;0;50;0;0;0;4;0;0;0;0;4;0;0;0
2022;31493;5;ESCUELA  DE  PARVULOS  MI  GIRASOL;3;2;0;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;31494;3;COL HOSP. CONSTRUYENDO SUEÑOS, CLINICA DAVILA;3;2;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;1;0;5;4;9;0;17;11;28;0;0;0;0;0;0;0;0;3;5;8;0;0;0;0;0;0;0;0;0;25;20;0;45;0;1;0;0;4;0;0;0;5;1;1;2
2022;31495;1;COLEGIO LOS PENSAMIENTOS DE SAN BERNARDO;3;2;0;13;RM;134;13401;SAN BERNARDO;132;SANTIAGO SUR;1;0;0;0;0;0;201;153;354;0;0;0;0;0;0;0;0;82;69;151;0;0;0;0;0;0;0;0;0;283;222;0;505;0;8;0;0;4;0;0;0;12;0;0;0
2022;31497;8;ESCUELA  ESPECIAL CASA  NIDO;3;2;0;13;RM;136;13602;EL MONTE;135;TALAGANTE;1;0;0;0;0;0;0;0;0;0;0;0;0;43;26;69;0;0;0;0;0;0;0;0;0;0;0;0;0;43;26;0;69;0;0;0;6;0;0;0;0;6;0;0;0
2022;31498;6;ESC. ESPECIAL Nº 2413 LEYENDA DE NIÑOS;3;2;0;13;RM;131;13107;HUECHURABA;137;SANTIAGO NORTE;1;0;0;0;0;0;0;0;0;0;0;0;0;50;30;80;0;0;0;0;0;0;0;0;0;0;0;0;0;50;30;0;80;0;0;0;6;0;0;0;0;6;0;0;0
2022;31499;4;COLEGIO THE SOUTHLAND;4;3;0;13;RM;131;13115;LO BARNECHEA;133;SANTIAGO ORIENTE;1;0;25;23;48;0;107;89;196;0;0;0;0;0;0;0;0;37;33;70;0;0;0;0;0;0;0;0;0;169;145;0;314;3;10;0;0;4;0;0;0;17;0;0;0
2022;31500;1;ESC. BASICA Nº230 EL SEMBRADOR CASAS VIEJAS;3;2;0;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;1;0;26;14;40;0;156;148;304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;162;0;344;2;8;0;0;0;0;0;0;10;0;0;0
